"date","plot","treatment","mean_t_top","mean_t_bottom","mean_t_ground","mean_vwc"
2023-07-11,"10","p",19.9850260416667,21.3033854166667,24.8248697916667,29.0871379377083
2023-07-11,"11","c",20.8463541666667,23.4153645833333,22.5638020833333,38.6908285608333
2023-07-11,"12","wp",21.515625,24.0553385416667,25.189453125,20.49138224
2023-07-11,"13","wp",22.3684895833333,23.3919270833333,26.185546875,27.918074385625
2023-07-11,"14","c",20.0514322916667,22.9641927083333,22.12890625,35.6742792645833
2023-07-11,"15","p",20.1946614583333,22.1842447916667,25.1471354166667,27.5899229116667
2023-07-11,"16","w",22.2688802083333,25.45703125,23.1490885416667,34.243477065625
2023-07-11,"2","c",21.1315104166667,23.9817708333333,23.6061197916667,37.1508033160417
2023-07-11,"3","p",20.7565104166667,22.2786458333333,25.1634114583333,27.9577908752083
2023-07-11,"4","wp",21.9029947916667,23.8216145833333,26.3313802083333,25.0963448479167
2023-07-11,"5","wp",21.5904947916667,24.8001302083333,26.6686197916667,26.550698425
2023-07-11,"6","p",20.17578125,21.3118489583333,23.8763020833333,24.456584234375
2023-07-11,"7","c",19.9029947916667,23.0859375,21.8873697916667,33.1685912466667
2023-07-11,"8","w",21.7682291666667,24.9505208333333,23.470703125,33.5576271122917
2023-07-11,"9","w",21.9446614583333,24.4127604166667,22.62109375,38.40897818
2023-07-26,"1","w",21.720703125,23.8645833333333,21.9029947916667,24.716840919375
2023-07-26,"10","p",19.5299479166667,20.6373697916667,23.201171875,15.4808965735417
2023-07-26,"11","c",19.5416666666667,22.6432291666667,20.8255208333333,26.6357940702083
2023-07-26,"12","wp",21.6171875,24.7434895833333,23.9713541666667,7.3099948425
2023-07-26,"13","wp",22.2981770833333,23.7805989583333,24.8756510416667,20.2634834389583
2023-07-26,"14","c",19.55859375,22.751953125,20.8268229166667,23.9661392989583
2023-07-26,"15","p",19.794921875,21.1276041666667,23.8216145833333,18.6679087095833
2023-07-26,"16","w",22.109375,23.59375,21.255859375,24.33728083875
2023-07-26,"2","c",19.6536458333333,22.087890625,21.4915364583333,27.5744677122917
2023-07-26,"3","p",19.486328125,21.466796875,23.2578125,11.7253356952083
2023-07-26,"4","wp",21.94140625,24.4544270833333,24.7897135416667,10.4038758202083
2023-07-26,"5","wp",21.521484375,24.9869791666667,24.6516927083333,10.3090732060417
2023-07-26,"6","p",19.65625,20.8658854166667,22.5924479166667,12.2472781064583
2023-07-26,"7","c",19.40625,20.7779947916667,19.91015625,22.125938854375
2023-07-26,"8","w",21.7415364583333,24.0403645833333,21.8854166666667,23.4273662033333
2023-07-26,"9","w",22.0013020833333,23.603515625,21.142578125,27.515153321875
2023-08-22,"1","w",27.4296875,29.6881510416667,26.7734375,19.8686864954167
2023-08-22,"10","p",25.2623697916667,26.96484375,29.369140625,10.7293427897917
2023-08-22,"11","c",25.1764322916667,29.201171875,25.4759114583333,21.3708850997917
2023-08-22,"12","wp",27.3645833333333,30.0930989583333,29.2526041666667,5.68286958166667
2023-08-22,"13","wp",27.7200520833333,28.837890625,29.9954427083333,12.1933548347917
2023-08-22,"14","c",25.369140625,29.2649739583333,25.7233072916667,16.589448344375
2023-08-22,"15","p",25.390625,27.5572916666667,28.7473958333333,8.91180019104167
2023-08-22,"16","w",27.544921875,29.6627604166667,26.3860677083333,17.851266823125
2023-08-22,"2","c",25.5794270833333,29.189453125,27.1692708333333,17.951899586875
2023-08-22,"3","p",25.185546875,27.7552083333333,28.55859375,10.05865279625
2023-08-22,"4","wp",27.5169270833333,29.3118489583333,30.1041666666667,7.98801316208333
2023-08-22,"5","wp",27.0696614583333,29.8190104166667,29.8697916666667,7.2563975825
